station	tmprg_max	tmprg_min	tmprg_diff	lat	lon	elev	state	name	gsn	hcn	wmo	rank_max	rank_min
USW00053152	6.235952381	10.780645161	-4.54469278	34.4142	-119.8797	5.5	CA	SANTA BARBARA 11 W			74505	0	1
USW00053163	10.390322581	7.6677419355	2.7225806452	33.9794	-107.1872	3196.1	NM	SOCORRO 17 WSW				1	0
USW00053185	10.891820276	9.3305299539	1.5612903226	38.2731	-112.3769	3088.2	UT	BEAVER 15 E				1	0
USW00092811	7.9322580645	10.135483871	-2.203225806	25.8064	-80.1336	0.3	FL	MIAMI BEACH				0	1
USW00093110	6.8980414747	8.6967741935	-1.798732719	34.2008	-119.2069	11	CA	OXNARD VENTURA CO AP				0	0
USW00093111	6.5434640523	10.180672269	-3.637208217	34.1167	-119.1167	4	CA	POINT MUGU NF			72391	0	1
USW00093112	7.855483871	10.303225806	-2.447741935	32.7	-117.2	7.9	CA	NORTH ISLAND NAS				0	1
USW00093115	7.2754761905	11.029032258	-3.753556068	32.5667	-117.1167	7.3	CA	IMPERIAL BEACH REAM FLD NAS				0	1
USW00093134	10.324301075	9.2955913978	1.0287096774	34.0511	-118.2353	70.1	CA	LOS ANGELES DWTN USC CAMPUS				1	0
USW00093197	7.5878494624	9.1767281106	-1.588878648	34.0158	-118.4514	53	CA	SANTA MONICA MUNI AP				0	0
USW00093206	9.5483870968	8.0064516129	1.5419354839	35.2372	-120.6414	61	CA	SAN LUIS OBISPO AP				1	0
USW00093245	6.6447044335	6.7273637375	-0.082659304	38.3208	-123.0747	19.2	CA	BODEGA 6 WSW			74518	0	0
USW00094240	12.968571429	8.6884792627	4.2800921659	47.9375	-124.555	56.4	WA	QUILLAYUTE STATE AP			72797	1	0
UV000005502	10.730376344	9.3014888337	1.4288875103	13.58	-2.43	340		OUAHIGOUYA			65502	1	0
UV000005507	9.595	8.1916666667	1.4033333333	12.07	0.35	301		FADA N'GOURMA			65507	1	0
UV000005522	6.9935483871	8.2433333333	-1.249784946	10.33	-3.18	333		GAOUA			65522	0	0
UVM00065505	10.253333333	9.4359801489	0.8173531844	12.467	3.483	300		DEDOUGOU			65505	1	0
UVM00065510	7.9335423197	6.3183333333	1.6152089864	11.16	-4.331	460.6		BOBO DIOULASSO			65510	0	0
UVM00065518	8.5935714286	6.7	1.8935714286	11.15	-1.15	322		PO			65518	0	0
UY000001405		0		-31.7	-55.983	134		TACUAREMBO			86370		0
VE000002417	3.33	5.2625	-1.9325	9.917	-67.333	429		SAN JUAN DE LOS MOR			80431	0	0
VE000005484		2.1516666667		6.167	-67.5	55		PUERTO CARRENO/A.GU			80139		0
VE000080413	2.8375	3.15	-0.3125	10.25	-67.65	437		MARACAY - B.A. SUCR			80413	0	0
VE000080423	1.9925	3.06	-1.0675	10.583	-62.317	14		GUIRIA	GSN		80423	0	0
VE000080425	2.8606060606	2.55	0.3106060606	9.817	-70.933	28		MENE GRANDE	GSN		80425	0	0
VE000080438	2.4416666667	2.775	-0.333333333	8.6	-71.183	1498		MERIDA	GSN		80438	0	0
VE000080450	5.39	3.004040404	2.385959596	7.68	-67.42	47		SAN FERNANDO	GSN		80450	0	0
VE000080453	0			7.3	-61.45	181		TUMEREMO	GSN		80453	0	
VEM00080403	3.325	2.1925	1.1325	11.415	-69.681	15.8		JOSE LEONARDO CHIRINOS			80403	0	0
VEM00080407	3.5	2.73	0.77	10.558	-71.728	71.6		LA CHINITA INTL			80407	0	0
VEM00080410	2.95	1.5742424242	1.3757575758	10.043	-69.359	622.4		BARQUISIMETO INTL			80410	0	0
VEM00080415	2.6916666667	2.42	0.2716666667	10.603	-66.991	71.6		SIMON BOLIVAR INTL			80415	0	0
VEM00080419	1.6875	2.6358974359	-0.948397436	10.107	-64.689	7.9		GENERAL JOSE ANTONIO ANZOATEG			80419	0	0
VEM00080420	3.3025641026	2.8166666667	0.4858974359	10.45	-64.13	4.3		ANTONIO JOSE DE SUCRE			80420	0	0
VEM00080421	2.3	3.5	-1.2	10.917	-63.967	19		PORLAMAR (AEROPUERTO INT. DEL			80421	0	0
VEM00080426	4.2846153846	2.3470175439	1.9375978408	9.34	-70.584	627.9		DR ANTONIO NICOLAS BRICENO			80426	0	0
VEM00080427	1.9241758242	1.7925	0.1316758242	9.553	-69.238	195.1		OSWALDO GUEVARA MUJICA			80427	0	0
VEM00080428	3.2	2.9318181818	0.2681818182	9.027	-69.755	184.7		GUANARE			80428	0	0
VEM00080432	5.6	1.85	3.75	9.417	-66.917	161		CARRIZAL			80432	0	0
VEM00080435	2.91	1.8033333333	1.1066666667	9.749	-63.153	68.3		MATURIN			80435	0	0
VEM00080437	2.225	2.525	-0.3	8.633	-71.65	103		EL VIGIA			80437	0	0
VEM00080440	5.9939393939	3.3422222222	2.6517171717	8.62	-70.221	203		BARINAS			80440	0	0
VEM00080444	5.7357142857	2.204040404	3.5316738817	8.122	-63.537	60		CIUDAD BOLIVAR			80444	0	0
VEM00080447	4.3	3.84	0.46	7.841	-72.44	399.9		SAN ANTONIO DEL TACHIRA			80447	0	0
VEM00080448	5.3769230769	3.3216666667	2.0552564103	7.211	-70.756	129.8		GUASDUALITO			80448	0	0
VEM00080457	5.0181818182	2.0092307692	3.008951049	5.62	-67.606	74.7		CASIQUE ARAMARE			80457	0	0
VEM00080472	5.3714285714	4.59	0.7814285714	10.15	-67.928	430.1		ARTURO MICHELENA INTL			80472	0	0
VEM00080475	4.4333333333	2.34	2.0933333333	7.565	-72.035	330.1		MAYOR BUENAVENTURA VIVAS			80475	0	0
VEM00080476	3.74	3.2	0.54	10.517	-71.65	26		LA CANADA			80476	0	0
VMM00048887	4.2785714286	5.9339912281	-1.655419799	10.933	108.1	5		PHAN THIET			48887	0	0
VMM00048914	4.4834482759	4.0960227273	0.3874255486	9.183	105.15	2		CA MAU			48914	0	0
VMM00048917	3.5346153846	4.7035087719	-1.168893387	10.217	103.967	4		PHU QUOC			48917	0	0
VMW00041010	6.8219667944	6.8777056277	-0.055738833	12.2333	109.2	9.1		NHA TRANG			48877	0	0
VMW00041011	9.4967980296	8.7760526316	0.720745398	13.7667	109.2167	9.1		QUI NHON			48870	1	0
VQC00671740	2.8072463768	3.270952381	-0.463706004	17.7469	-64.7014	9.1	VI	CHRISTIANSTED FT				0	0
VQC00677600	4.2470967742	3.2935714286	0.9535253456	18.3236	-64.8542	0.6	VI	REDHOOK BAY ST THOMAS				0	0
VQW00011624	4.135483871	3.7258064516	0.4096774194	17.7028	-64.8056	18.6	VI	CHRISTIANSTED AP			78551	0	0
VQW00011640	2.9193548387	3.3032258065	-0.383870968	18.3331	-64.9667	6.1	VI	CHARLOTTE AMALIE AP			78543	0	0
WA006490640	3.6305882353	4.1103070175	-0.479718782	-23.567	15.05	400		GOBABEB	GSN		68106	0	0
WA007401540	8.9333333333	8.4379166667	0.4954166667	-22.567	17.1	1700		WINDHOEK	GSN		68110	0	0
WA007848390	9.1636904762	8.15	1.0136904762	-22.483	17.467	1700		HOSEA KUTAKO INTL A			68112	0	0
WA007878380	8.7787335723	15.396666667	-6.617933094	-22.5	18.967	1400		GOBABIS			68116	0	2
WA010517310	7.4737486096	6.2296703297	1.2440782799	-19.15	15.912	1100		OKAUKUEJO			68010	0	0
WA012084750	9.3256912442	10.529487179	-1.203795935	-17.917	19.767	1100		RUNDU			68018	0	1
WAM00068006	0.2831168831	0.7791666667	-0.496049784	-17.933	15.983	1100		ONDANGWA			68006	0	0
WAM00068098	2.4333333333	1.8155172414	0.617816092	-22.983	14.65	88		WALVIS BAY AIRPORT			68098	0	0
WF000917530	1.9692307692	1.6786206897	0.2906100796	-13.233	-176.167	27		HIHIFO (ILE WALLIS)	GSN		91753	0	0
WFM00091754	4.2395714286	2.35	1.8895714286	-14.317	-178.117	36		FUTUNA ISL/MAOPOOPO			91754	0	0
WIM00060096	1.0266666667	1.4642857143	-0.437619048	23.7	-15.867	10		VILLA CISNEROS(MIL)			60096	0	0
WQW00041606	3.1911764706	2.5235294118	0.6676470588	19.2833	166.65	4.3	UM	WAKE ISLAND			91246	0	0
WZ004455110	6.0125	9.8535714286	-3.841071429	-26.533	31.3	641		MANZINI/MATSAPA AIR			68396	0	1
ZA000067475	2.25	5.9333333333	-3.683333333	-10.217	31.133	1384		KASAMA	GSN		67475	0	0
ZA000067581		0		-13.55	32.583	1032		CHIPATA	GSN		67581		0
ZA000067633	0	0	0	-15.25	23.15	1053		MONGU	GSN		67633	0	0
ZI000067775	7.4154589372	10.255555556	-2.840096618	-17.917	31.133	1480		HARARE (KUTSAGA)	GSN		67775	0	1
ZI000067975	7.7629370629	12.888727273	-5.12579021	-20.067	30.867	1095		MASVINGO			67975	0	1
ZI000067983	2.6210526316	7.1636363636	-4.542583732	-20.2	32.616	1132		CHIPINGE	GSN		67983	0	0
