station	mntmax14	mntmax13	tmax_diff	indicator	lat	lon	elev	state
USC00205	-5.428873239	0.1984536082	-5.627326848	1	42.5794	-83.6844	301.8	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.2836	-83.4792	249.9	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	44.6614	-84.1317	292.6	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	44.6467	-84.1158	316.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	41.9139	-83.3942	179.8	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	41.9069	-83.4158	178.6	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.4614	-86.4175	198.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.45	-86.35	203.9	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	45.9903	-84.8361	211.8	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	41.75	-84.2167	247.2	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	41.7217	-84.2147	234.7	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	42.9525	-83.7411	259.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	48.1069	-88.5467	185.9	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	41.8	-85.7	280.4	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.5858	-84.7697	242.6	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.5833	-84.8167	235	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	46.4122	-86.6625	207.3	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	42.35	-84.3167	289.6	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.1839	-86.2036	192.9	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	46.0908	-85.3219	179.5	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	46.5667	-88.2667	-999.9	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.4	-85.7833	234.7	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.4833	-85.6333	232	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	42.4	-82.7667	179.5	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	42.6503	-82.8045	173.7	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	46.3725	-85.5089	219.5	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	46.35	-85.5167	244.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	46.3286	-85.5033	270.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	41.7833	-86.7	-999.9	MI
