                                                           The SAS System                        14:47 Tuesday, December 1, 2015   1

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff
                                          974    NLE00108    17.9774    13.0935     4.88387
                                          975    NLE00113    11.1580    11.2150    -0.05698
                                          976    NLE00152    18.0871    12.5258     5.56129
                                          977    NLM00006    16.6230    12.3544     4.26854
                                          978    NO000001    21.3871    17.6242     3.76290
                                          979    NO000014    15.1240    12.5842     2.53983
                                          980    NO000050    18.9903    13.7742     5.21613
                                          981    NO000098    15.8052    16.5150    -0.70983
                                          982    NO000099     9.9097    11.4439    -1.53419
                                          983    NOE00104    20.2065    15.7839     4.42258
                                          984    NOE00105    20.4719    18.3200     2.15194
                                          985    NOE00109    23.6609    18.2228     5.43804
                                          986    NOE00110    22.4019    16.4140     5.98790
                                          987    NOE00111    21.1523    19.3534     1.79892
                                          988    NOE00112    23.5667    18.1258     5.44086
                                          989    NOE00133    21.2190    17.2065     4.01253
                                          990    NOE00134    21.0232    16.8084     4.21475
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  19

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                          991    NOE00135    25.7613    18.0710     7.69032
                                          992    NOM00001    27.1011    20.3707     6.73044
                                          993    NP000444    11.8805    17.2562    -5.37571
                                          994    NPM00044     8.8096    14.1852    -5.37556
                                          995    NSM00081     1.3139     0.0000     1.31389
                                          996    NTM00078     3.3966     3.3995    -0.00295
                                          997    NUM00078     1.8000     3.3000    -1.50000
                                          998    NZ000093     9.3160     8.0458     1.27011
                                          999    NZ000933     9.3794     7.8437     1.53568
                                         1000    NZ000936    11.4421    10.9875     0.45465
                                         1001    NZM00093     9.7078     8.5633     1.14450
                                         1002    PA000086    11.4504    10.1204     1.32993
                                         1003    PAM00086    11.4788    10.0154     1.46338
                                         1004    PE000084     1.7467     2.1777    -0.43094
                                         1005    PEM00084     4.2184     6.0589    -1.84052
                                         1006    PK000041    26.8233    25.7896     1.03375
                                         1007    PK008020     0.0000      .          .     
                                         1008    PKM00041    21.1990    22.6601    -1.46107
                                         1009    PL000012    25.5414    19.0051     6.53623
                                         1010    PLM00012    26.3075    19.8248     6.48273
                                         1011    PO000008    11.6844     8.6775     3.00695
                                         1012    POM00008    12.4028     8.8634     3.53939
                                         1013    POW00013    10.4391    10.7842    -0.34507
                                         1014    PSC00914     2.5345     3.2268    -0.69226
                                         1015    PSW00040     1.5691     1.2940     0.27509
                                         1016    PUM00061     4.6389      .          .     
                                         1017    QAM00041    21.7788    18.1529     3.62595
                                         1018    REM00061     4.8619     6.5419    -1.67998
                                         1019    RIE00100    20.6145    15.5010     5.11344
                                         1020    RIE00111    20.9999    15.7840     5.21589
                                         1021    RMC00913     1.8602     2.1757    -0.31548
                                         1022    RMC00914     1.2947     0.9388     0.35586
                                         1023    RMW00040     1.0167     0.7734     0.24328
                                         1024    ROE00100    25.9380    19.1892     6.74885
                                         1025    ROE00108    24.4744    18.4385     6.03583
                                         1026    ROM00015    24.1124    19.2820     4.83036
                                         1027    RP000098     5.4437     3.4937     1.95008
                                         1028    RP000982     4.6144     8.2600    -3.64560
                                         1029    RP000986     6.4900     2.9208     3.56919
                                         1030    RPM00098     6.1278     5.5972     0.53056
                                         1031    RPW00041     6.2829     4.4036     1.87933
                                         1032    RQC00660     3.9450     4.4192    -0.47428
                                         1033    RQC00662     2.4258     4.5243    -2.09850
                                         1034    RQC00663     3.8871     5.0484    -1.16129
                                         1035    RQC00664     3.2454     3.9849    -0.73952
                                         1036    RQC00665     3.1548     3.9333    -0.77849
                                         1037    RQC00666     4.4242     4.0522     0.37204
                                         1038    RQC00667     2.9967     4.7301    -1.73348
                                         1039    RQC00668     3.9406     2.7280     1.21256
                                         1040    RQC00669     3.5163     4.3484    -0.83218
                                         1041    RQW00011     2.9714     3.1193    -0.14789
                                         1042    RS000034    38.8245    29.7938     9.03075
                                         1043    RSM00020    34.3428    32.2417     2.10108
                                         1044    RSM00021    43.3747    42.0531     1.32155
                                         1045    RSM00022    26.8125    27.1148    -0.30238
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  20

                                                              tmax_      tmin_       range_
                                          Obs    station      range      range         diff

                                         1046    RSM00023    44.4900    38.0251      6.4649
                                         1047    RSM00024    61.7298    55.2577      6.4721
                                         1048    RSM00025    38.3381    40.9601     -2.6219
                                         1049    RSM00026    33.1072    25.6263      7.4809
                                         1050    RSM00027    37.6180    26.8004     10.8176
                                         1051    RSM00028    41.0333    34.3222      6.7112
                                         1052    RSM00029    39.0953    37.1745      1.9208
                                         1053    RSM00030    41.8521    40.7864      1.0657
                                         1054    RSM00031    50.5737    46.1775      4.3962
                                         1055    RSM00032    28.5767    29.0555     -0.4788
                                         1056    RSM00034    38.4950    27.4692     11.0258
                                         1057    RSM00035    46.2056    35.2163     10.9893
                                         1058    RSM00036    49.5554    37.4559     12.0995
                                         1059    RSM00037    25.8438    21.8529      3.9908
                                         1060    RSW00037    43.6084    44.9260     -1.3176
                                         1061    RWM00064     3.4150     1.1275      2.2875
                                         1062    SA000040    10.2000    20.6009    -10.4009
                                         1063    SA000041    10.2474     9.4889      0.7585
                                         1064    SA000403     8.8000    20.7136    -11.9136
                                         1065    SAM00040    22.3538    18.6542      3.6996
                                         1066    SAM00041    12.9772    12.7073      0.2699
                                         1067    SAW00032     6.0000    19.5217    -13.5217
                                         1068    SBM00071    23.3750    22.6267      0.7483
                                         1069    SE000063     3.3016     1.9105      1.3910
                                         1070    SF000068     8.1878     9.3407     -1.1529
                                         1071    SF000104    11.3772    12.3969     -1.0197
                                         1072    SF000227    16.0248    12.9040      3.1207
                                         1073    SF000236    13.1817    12.9795      0.2021
                                         1074    SF000288     6.9871    10.1833     -3.1962
                                         1075    SF000347     8.5863    11.1868     -2.6004
                                         1076    SF000400    15.4548    12.8603      2.5945
                                         1077    SF000414    14.7720    10.9864      3.7856
                                         1078    SF000456    16.4776    16.0126      0.4650
                                         1079    SF000508    14.8522    14.0114      0.8408
                                         1080    SF000570     9.8678     9.9748     -0.1069
                                         1081    SF000782     9.7447    11.8486     -2.1039
                                         1082    SF000798    10.1731    11.2924     -1.1193
                                         1083    SF000981    12.8878    13.3143     -0.4265
                                         1084    SF001130    16.9133    16.3738      0.5395
                                         1085    SF001344    15.0781    12.2600      2.8181
                                         1086    SF001447    16.0835    16.1986     -0.1151
                                         1087    SF001485    15.1500    17.4984     -2.3484
                                         1088    SF001506    10.7815    13.7815     -3.0000
                                         1089    SF001753    15.0759    19.5895     -4.5136
                                         1090    SF001771    14.7070    14.1621      0.5449
                                         1091    SF002146    15.2400    11.3957      3.8443
                                         1092    SF002394     7.6469    13.0121     -5.3653
                                         1093    SF002613    14.6252    20.8389     -6.2137
                                         1094    SF002760    16.1383    13.8595      2.2788
                                         1095    SF002966    12.2433    19.2800     -7.0367
                                         1096    SF003044     8.1014    11.8621     -3.7607
                                         1097    SF003174    15.9828    19.4383     -3.4555
                                         1098    SF003211    16.7713    17.8994     -1.1281
                                         1099    SF003336     8.6475    14.0793     -5.4318
                                         1100    SF003605    13.2182    18.3269     -5.1086
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  21

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                         1101    SF003724     8.1306    12.9750    -4.84444
                                         1102    SF004322    12.4769    18.4926    -6.01566
                                         1103    SF004348    12.8234    18.5680    -5.74457
                                         1104    SF004371    12.5433    18.6283    -6.08506
                                         1105    SF004722    10.4186    15.5349    -5.11627
                                         1106    SF005547     5.9254     6.8528    -0.92741
                                         1107    SFM00068     9.0278    12.6732    -3.64544
                                         1108    SG000001    10.3736     8.8792     1.49443
                                         1109    SG000061    10.2477     7.9249     2.32278
                                         1110    SGM00061     7.0894     7.8541    -0.76464
                                         1111    SIE00105    12.2797    12.3304    -0.05069
                                         1112    SIE00114    18.8817    14.9828     3.89892
                                         1113    SIE00115    18.8686    14.5447     4.32387
                                         1114    SIM00014    19.8788    14.5161     5.36269
                                         1115    SNM00048     3.2042     1.9252     1.27895
                                         1116    SP000003    21.3213    15.3940     5.92730
                                         1117    SP000004    19.4610    12.3758     7.08524
                                         1118    SP000006    14.2472    13.3462     0.90092
                                         1119    SP000007    13.5000    14.7095    -1.20952
                                         1120    SP000008    16.9125    13.3113     3.60121
                                         1121    SP000009    17.6284    14.5431     3.08523
                                         1122    SP000060    11.9505    10.5946     1.35591
                                         1123    SPE00101    13.1133    14.9694    -1.85609
                                         1124    SPE00119    14.1902    11.3310     2.85916
                                         1125    SPE00120    16.2915    12.2726     4.01881
                                         1126    SPM00008    13.7301    17.1040    -3.37385
                                         1127    SPW00013    19.7867    13.5087     6.27801
                                         1128    SPW00014    19.1249    15.8000     3.32492
                                         1129    SU000062    10.8295    11.8877    -1.05825
                                         1130    SUM00062     8.9515     9.2197    -0.26824
                                         1131    SV000001    16.2774    18.5235    -2.24613
                                         1132    SV000020    16.8000    17.7244    -0.92438
                                         1133    SW000002    23.9821    15.4936     8.48857
                                         1134    SW000008    24.9042    16.6406     8.26356
                                         1135    SW000024    26.9602    19.1412     7.81900
                                         1136    SWE00100    28.8350    25.1126     3.72235
                                         1137    SWE00115    28.1187    23.5048     4.61390
                                         1138    SWE00140    29.5135    24.0330     5.48054
                                         1139    SWM00002    22.9879    15.9929     6.99507
                                         1140    SXM00088     6.9650     6.3584     0.60657
                                         1141    SY000040    19.0641    18.0911     0.97301
                                         1142    SYM00040    23.2029    19.6559     3.54696
                                         1143    SZ000001    19.1669    13.8484     5.31849
                                         1144    SZ000002    12.0419    12.7291    -0.68721
                                         1145    SZ000003    18.5024    13.1903     5.31204
                                         1146    SZ000006    15.3771    13.8291     1.54800
                                         1147    SZ000008    18.1362    13.5097     4.62656
                                         1148    SZ000009    17.6452    13.9290     3.71613
                                         1149    SZE00105    21.2016    15.3194     5.88226
                                         1150    SZE00116    18.1688    13.4677     4.70108
                                         1151    SZM00006    20.3500    15.1637     5.18631
                                         1152    TDM00078     2.2848     2.5074    -0.22251
                                         1153    TEM00061     4.8367     3.6667     1.17000
                                         1154    TH000048     6.5045     7.8875    -1.38304
                                         1155    THM00048     5.2630     8.5709    -3.30783
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  22

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                         1156    THW00041     8.2555    12.9011    -4.64563
                                         1157    TI000038    29.0424    24.3027     4.73969
                                         1158    TO000005     6.6745     1.9881     4.68642
                                         1159    TOM00065     9.4314     8.2825     1.14894
                                         1160    TS000060    20.9285    14.2175     6.71099
                                         1161    TSE00147    20.6988    15.4148     5.28397
                                         1162    TSM00060    19.4660    16.0081     3.45792
                                         1163    TU000017    17.4278    18.5394    -1.11157
                                         1164    TUM00017    24.0400    19.7982     4.24177
                                         1165    TV000091     1.0643     1.9458    -0.88152
                                         1166    TX000038    31.9878    29.0258     2.96202
                                         1167    TZ000063     2.9928     4.8141    -1.82137
                                         1168    TZM00063     4.2591     3.1222     1.13687
                                         1169    UK000003    12.7103     8.9492     3.76112
                                         1170    UK000070    11.0744     7.4825     3.59186
                                         1171    UKM00003    14.2116    10.0739     4.13773
                                         1172    UKW00035    13.9935    11.2130     2.78042
                                         1173    UPM00033    28.5636    21.6858     6.87783
                                         1174    UPM00034    32.7301    24.4188     8.31130
                                         1175    US009052    32.1878    33.4662    -1.27842
                                         1176    USC00010    23.0646    24.7058    -1.64121
                                         1177    USC00011    22.2288    23.7340    -1.50512
                                         1178    USC00012    22.3669    24.3687    -2.00181
                                         1179    USC00013    23.5080    24.7637    -1.25568
                                         1180    USC00014    22.7569    24.7847    -2.02779
                                         1181    USC00015    23.5164    25.2713    -1.75497
                                         1182    USC00016    22.9923    25.4039    -2.41161
                                         1183    USC00017    23.9326    25.0300    -1.09739
                                         1184    USC00018    22.8910    24.4469    -1.55598
                                         1185    USC00020    20.7240    20.2176     0.50640
                                         1186    USC00021    22.0590    20.6677     1.39137
                                         1187    USC00022    20.5917    19.8244     0.76733
                                         1188    USC00023    21.1106    18.6098     2.50081
                                         1189    USC00024    21.5073    18.5014     3.00590
                                         1190    USC00025    22.1042    20.0955     2.00871
                                         1191    USC00026    21.2733    21.0534     0.21994
                                         1192    USC00027    21.2506    19.7784     1.47220
                                         1193    USC00028    20.5836    20.7514    -0.16772
                                         1194    USC00029    22.3769    20.7066     1.67025
                                         1195    USC00030    22.6616    25.3546    -2.69296
                                         1196    USC00031    22.8778    25.4751    -2.59739
                                         1197    USC00032    23.1375    25.6154    -2.47796
                                         1198    USC00033    23.9003    26.1997    -2.29932
                                         1199    USC00034    23.8073    25.7955    -1.98819
                                         1200    USC00035    23.8787    25.9480    -2.06927
                                         1201    USC00036    23.3402    25.5159    -2.17567
                                         1202    USC00037    24.3928    26.4508    -2.05808
                                         1203    USC00038    24.7065    25.5558    -0.84935
                                         1204    USC00040    18.7722    13.6613     5.11086
                                         1205    USC00041    20.5824    14.2502     6.33220
                                         1206    USC00042    19.2675    14.9468     4.32064
                                         1207    USC00043    18.4133    13.6692     4.74411
                                         1208    USC00044    19.8877    15.0418     4.84594
                                         1209    USC00045    17.5662    12.9206     4.64560
                                         1210    USC00046    16.6659    12.0403     4.62557
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  23

                                                              tmax_      tmin_       range_
                                          Obs    station      range      range         diff

                                         1211    USC00047    13.6190    10.9226      2.6964
                                         1212    USC00048    20.4647    13.8098      6.6549
                                         1213    USC00049    20.6164    15.3685      5.2479
                                         1214    USC00050    25.1451    23.7979      1.3472
                                         1215    USC00051    24.8551    23.7806      1.0745
                                         1216    USC00052    23.8763    22.6898      1.1864
                                         1217    USC00053    26.0945    23.1831      2.9114
                                         1218    USC00054    25.9505    24.8308      1.1197
                                         1219    USC00055    26.0550    24.6713      1.3838
                                         1220    USC00056    25.4816    24.7523      0.7294
                                         1221    USC00057    24.0707    23.2400      0.8308
                                         1222    USC00058    23.7325    23.1780      0.5544
                                         1223    USC00059    26.9970    24.6111      2.3859
                                         1224    USC00060    28.0384    27.5628      0.4756
                                         1225    USC00061    33.4627    32.0640      1.3987
                                         1226    USC00062    27.7665    28.2120     -0.4455
                                         1227    USC00063    24.9222    25.1355     -0.2132
                                         1228    USC00064    27.4226    28.0161     -0.5935
                                         1229    USC00065    28.4850    27.9626      0.5224
                                         1230    USC00066     0.1532     1.5374     -1.3842
                                         1231    USC00067    27.3161    26.5000      0.8161
                                         1232    USC00068    27.4161    27.2403      0.1758
                                         1233    USC00069    27.5597    27.7581     -0.1984
                                         1234    USC00072    25.1091    24.9649      0.1442
                                         1235    USC00076    23.9000    14.9250      8.9750
                                         1236    USC00079    28.0268    27.5362      0.4905
                                         1237    USC00080    13.2269    15.0686     -1.8417
                                         1238    USC00081    13.8274    15.5367     -1.7093
                                         1239    USC00082    12.9130    14.6346     -1.7216
                                         1240    USC00083    11.9314    13.8823     -1.9509
                                         1241    USC00084    12.1639    14.0876     -1.9237
                                         1242    USC00085    14.6790    16.1223     -1.4434
                                         1243    USC00086    13.8169    16.1506     -2.3337
                                         1244    USC00087    13.3003    15.1266     -1.8263
                                         1245    USC00088    14.0499    15.9479     -1.8981
                                         1246    USC00089    15.2295    17.4152     -2.1857
                                         1247    USC00090    22.3686    23.5926     -1.2240
                                         1248    USC00091    21.9668    22.7968     -0.8300
                                         1249    USC00092    22.1001    23.1123     -1.0122
                                         1250    USC00093    20.8320    21.8826     -1.0505
                                         1251    USC00094    22.0380    23.1841     -1.1462
                                         1252    USC00095    22.0404    23.0475     -1.0072
                                         1253    USC00096    20.1119    21.2069     -1.0950
                                         1254    USC00097    20.6374    22.2337     -1.5963
                                         1255    USC00098    21.8270    22.6675     -0.8405
                                         1256    USC00099    20.7612    23.0897     -2.3284
                                         1257    USC00100    29.2565    21.1489      8.1076
                                         1258    USC00101    29.7701    19.4695     10.3007
                                         1259    USC00102    29.2545    19.9576      9.2969
                                         1260    USC00103    30.0165    19.7307     10.2858
                                         1261    USC00104    29.2891    20.2892      8.9999
                                         1262    USC00105    28.4973    21.2956      7.2017
                                         1263    USC00106    29.0661    19.5870      9.4791
                                         1264    USC00107    29.2164    19.2948      9.9216
                                         1265    USC00108    30.3283    21.1683      9.1600
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  24

                                                              tmax_      tmin_       range_
                                          Obs    station      range      range         diff

                                         1266    USC00109    28.5110    18.3531     10.1579
                                         1267    USC00110    31.1152    31.7770     -0.6619
                                         1268    USC00111    29.2508    30.5182     -1.2674
                                         1269    USC00112    30.0776    30.6895     -0.6120
                                         1270    USC00113    31.2988    32.3914     -1.0926
                                         1271    USC00114    30.4027    30.9736     -0.5709
                                         1272    USC00115    31.7288    32.5147     -0.7859
                                         1273    USC00116    30.5346    31.0714     -0.5368
                                         1274    USC00117    30.0252    31.5873     -1.5621
                                         1275    USC00118    30.3683    30.5674     -0.1991
                                         1276    USC00119    30.1557    31.2246     -1.0689
                                         1277    USC00120    29.6445    30.1713     -0.5268
                                         1278    USC00121    29.8396    29.9732     -0.1336
                                         1279    USC00122    28.6724    29.1449     -0.4725
                                         1280    USC00123    30.7268    30.4950      0.2317
                                         1281    USC00124    30.7144    30.9718     -0.2574
                                         1282    USC00125    31.1681    30.6220      0.5460
                                         1283    USC00126    29.3580    29.9376     -0.5795
                                         1284    USC00127    29.1530    29.7605     -0.6075
                                         1285    USC00128    28.4756    29.3245     -0.8489
                                         1286    USC00129    30.5807    30.7597     -0.1790
                                         1287    USC00130    31.4902    33.3017     -1.8115
                                         1288    USC00131    31.9380    33.6024     -1.6644
                                         1289    USC00132    32.8930    34.5585     -1.6655
                                         1290    USC00133    31.2439    33.6831     -2.4393
                                         1291    USC00134    31.2766    33.2462     -1.9696
                                         1292    USC00135    32.8010    33.7478     -0.9468
                                         1293    USC00136    32.3003    34.0715     -1.7712
                                         1294    USC00137    31.2797    33.5858     -2.3061
                                         1295    USC00138    33.0191    34.3897     -1.3706
                                         1296    USC00139    28.9654    30.5592     -1.5938
                                         1297    USC00140    29.8236    28.7043      1.1193
                                         1298    USC00141    29.6218    28.2540      1.3678
                                         1299    USC00142    29.0602    28.0264      1.0338
                                         1300    USC00143    29.4564    28.5027      0.9537
                                         1301    USC00144    29.6628    28.2702      1.3926
                                         1302    USC00145    29.9660    28.1154      1.8506
                                         1303    USC00146    29.4755    28.0648      1.4107
                                         1304    USC00147    29.7888    27.2615      2.5272
                                         1305    USC00148    29.2361    28.1382      1.0978
                                         1306    USC00149    29.6770    29.4129      0.2641
                                         1307    USC00150    26.1040    27.3568     -1.2529
                                         1308    USC00151    25.9448    27.4250     -1.4802
                                         1309    USC00152    26.3533    27.6747     -1.3214
                                         1310    USC00153    26.7365    27.4153     -0.6788
                                         1311    USC00154    26.7514    28.1282     -1.3769
                                         1312    USC00155    26.7712    27.3449     -0.5737
                                         1313    USC00156    26.0698    27.5427     -1.4728
                                         1314    USC00157    26.4579    27.5120     -1.0541
                                         1315    USC00158    25.4771    27.2230     -1.7459
                                         1316    USC00160    20.3508    23.7296     -3.3788
                                         1317    USC00161    19.3394    23.2231     -3.8837
                                         1318    USC00162    19.1191    22.5569     -3.4378
                                         1319    USC00163    18.0108    22.1123     -4.1016
                                         1320    USC00164    19.6789    23.0214     -3.3426
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  25

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                         1321    USC00165    19.0291    22.9401    -3.91098
                                         1322    USC00166    19.4049    23.2756    -3.87068
                                         1323    USC00167    19.5978    23.1829    -3.58517
                                         1324    USC00168    19.3011    22.7091    -3.40799
                                         1325    USC00169    19.8372    23.0626    -3.22548
                                         1326    USC00170    29.4888    28.8942     0.59464
                                         1327    USC00171    30.1643    30.6938    -0.52951
                                         1328    USC00172    29.6108    28.7554     0.85538
                                         1329    USC00173    29.8964    28.8940     1.00242
                                         1330    USC00174    29.0201    28.8059     0.21419
                                         1331    USC00175    29.8629    28.8339     1.02903
                                         1332    USC00176    29.3355    28.6554     0.68011
                                         1333    USC00177    30.1694    29.3234     0.84602
                                         1334    USC00178    30.9271    30.8091     0.11795
                                         1335    USC00179    29.5829    28.5600     1.02290
                                         1336    USC00180    26.7581    26.5935     0.16452
                                         1337    USC00181    26.9608    26.1585     0.80234
                                         1338    USC00182    27.2239    26.6197     0.60425
                                         1339    USC00183    26.9774    26.8871     0.09032
                                         1340    USC00185    26.1376    26.4355    -0.29785
                                         1341    USC00186    26.1054    26.1235    -0.01818
                                         1342    USC00187    24.2652    26.2121    -1.94689
                                         1343    USC00188    25.0590    25.3412    -0.28211
                                         1344    USC00189    27.3450    27.1473     0.19763
                                         1345    USC00190    27.8378    27.3737     0.46412
                                         1346    USC00191    21.0903    21.5806    -0.49032
                                         1347    USC00192    24.2922    26.1033    -1.81108
                                         1348    USC00193    26.7712    26.3423     0.42890
                                         1349    USC00194    28.3085    26.8797     1.42878
                                         1350    USC00195    27.7025    26.5746     1.12799
                                         1351    USC00196    25.3355    27.0430    -1.70753
                                         1352    USC00197    37.1000    33.3267     3.77333
                                         1353    USC00198    28.1613    27.3602     0.80108
                                         1354    USC00199    27.5496    26.9551     0.59443
                                         1355    USC00200    31.5650    28.1133     3.45167
                                         1356    USC00201    30.7130    29.5834     1.12966
                                         1357    USC00202    30.4937    28.3457     2.14799
                                         1358    USC00203    30.5728    27.9892     2.58361
                                         1359    USC00204    32.0801    30.0042     2.07595
                                         1360    USC00205    30.3636    28.4585     1.90514
                                         1361    USC00206    30.6380    29.5929     1.04509
                                         1362    USC00207    30.6793    29.3229     1.35639
                                         1363    USC00208    31.6644    28.8768     2.78758
                                         1364    USC00209    31.4033    29.9907     1.41268
                                         1365    USC00210    36.2289    37.9563    -1.72734
                                         1366    USC00211    35.1688    37.0221    -1.85331
                                         1367    USC00212    35.9821    37.6255    -1.64337
                                         1368    USC00213    35.0056    37.0015    -1.99594
                                         1369    USC00214    34.8988    36.6294    -1.73067
                                         1370    USC00215    34.8845    37.0345    -2.14998
                                         1371    USC00216    35.5614    37.2437    -1.68233
                                         1372    USC00217    34.6196    36.4309    -1.81129
                                         1373    USC00218    35.2582    37.6905    -2.43233
                                         1374    USC00219    33.7855    35.9282    -2.14274
                                         1375    USC00220    22.4068    24.9829    -2.57606
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  26

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                         1376    USC00221    22.4022    25.0480    -2.64582
                                         1377    USC00222    20.9844    24.8868    -3.90232
                                         1378    USC00223    22.2198    25.1445    -2.92471
                                         1379    USC00224    23.7812    26.2615    -2.48029
                                         1380    USC00225    21.5475    24.3057    -2.75818
                                         1381    USC00226    22.2336    25.2115    -2.97786
                                         1382    USC00227    22.1435    25.1518    -3.00828
                                         1383    USC00228    23.8718    25.6637    -1.79198
                                         1384    USC00229    22.1954    25.4349    -3.23955
                                         1385    USC00230    27.6418    29.3878    -1.74603
                                         1386    USC00231    29.3662    30.6226    -1.25643
                                         1387    USC00232    27.7209    29.0185    -1.29759
                                         1388    USC00233    28.5527    30.7083    -2.15554
                                         1389    USC00234    28.1721    28.8071    -0.63494
                                         1390    USC00235    27.9219    29.5822    -1.66037
                                         1391    USC00236    28.1074    29.4167    -1.30935
                                         1392    USC00237    28.8097    29.9368    -1.12712
                                         1393    USC00238    28.0081    30.2400    -2.23196
                                         1394    USC00239    27.1351    28.3419    -1.20680
                                         1395    USC00240    31.4461    24.7553     6.69075
                                         1396    USC00241    33.3961    27.5779     5.81817
                                         1397    USC00242    32.6080    25.9548     6.65321
                                         1398    USC00243    33.4712    27.2027     6.26848
                                         1399    USC00244    32.8767    26.1801     6.69654
                                         1400    USC00245    32.8920    26.8930     5.99898
                                         1401    USC00246    32.6011    26.6266     5.97457
                                         1402    USC00247    32.8411    26.7366     6.10450
                                         1403    USC00248    32.0894    24.9133     7.17605
                                         1404    USC00249    31.7263    24.7825     6.94371
                                         1405    USC00250    29.7683    28.4146     1.35361
                                         1406    USC00251    29.5263    27.3873     2.13900
                                         1407    USC00252    29.5853    29.1133     0.47201
                                         1408    USC00253    29.0778    28.0152     1.06262
                                         1409    USC00254    29.8481    27.5527     2.29533
                                         1410    USC00255    29.4254    28.2255     1.19982
                                         1411    USC00256    29.7871    28.2379     1.54927
                                         1412    USC00257    29.6454    28.4925     1.15290
                                         1413    USC00258    29.2625    29.5871    -0.32452
                                         1414    USC00259    28.3873    31.1641    -2.77675
                                         1415    USC00260    27.4063    21.6238     5.78248
                                         1416    USC00261    25.1968    22.8861     2.31063
                                         1417    USC00262    26.0734    20.7781     5.29529
                                         1418    USC00263    23.4643    19.8347     3.62963
                                         1419    USC00264    26.2827    20.8031     5.47958
                                         1420    USC00265    25.9421    22.0915     3.85063
                                         1421    USC00266    25.5181    24.1783     1.33980
                                         1422    USC00267    26.0816    20.7210     5.36062
                                         1423    USC00268    25.7020    20.6841     5.01798
                                         1424    USC00269    27.2645    21.8161     5.44839
                                         1425    USC00270    29.6034    28.7587     0.84471
                                         1426    USC00271    30.6516    30.9097    -0.25806
                                         1427    USC00272    29.0325    28.3911     0.64146
                                         1428    USC00273    29.0632    27.4996     1.56363
                                         1429    USC00274    30.0081    28.7522     1.25594
                                         1430    USC00275    29.3293    28.3426     0.98671
                                                           The SAS System                        14:47 Tuesday, December 1, 2015  27

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                         1431    USC00276    29.9140    28.4517     1.46226
                                         1432    USC00277    30.0355    28.4548     1.58065
