"","STATE","N1910wp","N1920wp","N1930wp","N1940wp","N1950wp","N1960wp","N1970wp","N1980wp","N1990wp","N2000wp","N2010wp","np1910p","np1920p","np1930p","np1940p","np1950p","np1960p","np1970p","np1980p","np1990p","np2000p","np2010p","ratio1910","ratio1920","ratio1930","ratio1940","ratio1950","ratio1960","ratio1970","ratio1980","ratio1990","ratio2000","ratio2010"
"21","Maryland",0.014044965018187,0.0136732690453261,0.0132426237934673,0.0137801228709035,0.0154831564146121,0.017291066812753,0.0193020118317268,0.0186142268226949,0.0192250831956317,0.0188204467636574,0.0187000338123105,0.00425133304510736,0.00427938254623261,0.00425133304510736,0.00427938254623261,0.00425133304510736,0.00427938254623261,0.00425133304510736,0.00427938254623261,0.00425133304510736,0.00427938254623261,NA,0.302694455956441,0.312974353978314,0.321034042151419,0.310547488315105,0.27457793044674,0.247490949666354,0.220253364373108,0.22989848501336,0.221134702089266,0.227379434716511,NA
"22","Massachusetts",0.0365008229126928,0.0363355984925968,0.0344928854762054,0.0326617113244625,0.0309961292918475,0.0287111690945691,0.027996240732446,0.0253239604238092,0.0241905354517229,0.0225607774826171,0.0212072020292646,0.0159965412883701,0.0162769371847776,0.0159965412883701,0.0162769371847776,0.0159965412883701,0.0162769371847776,0.0159965412883701,0.0162769371847776,0.0159965412883701,0.0162769371847776,NA,0.438251524537751,0.447961169212445,0.463763499849995,0.498349183944528,0.516081899702794,0.566920041854252,0.571381759474265,0.642748484533023,0.661272724627961,0.721470578632269,NA
"23","Michigan",0.0304696826022187,0.0346006302474185,0.0393037489201529,0.0397694029479262,0.0421062772125609,0.0436262295712754,0.043674026297059,0.04088390866474,0.0373740571207642,0.0353151044325597,0.0320122521090491,0.00749387519815535,0.0110805440929237,0.00749387519815535,0.0110805440929237,0.00749387519815535,0.0110805440929237,0.00749387519815535,0.0110805440929237,0.00749387519815535,0.0110805440929237,NA,0.245945299003859,0.320241105832182,0.190665659232137,0.278619825080918,0.177975249636171,0.253988121408031,0.171586543159177,0.271024578001762,0.200510080399913,0.31376217827938,NA
"24","Minnesota",0.0225061460397229,0.022515472493103,0.0208108635738148,0.0211274475536632,0.0197090188151527,0.0190374947354128,0.0187241520460763,0.0179918140616199,0.0175911754013883,0.0174807962532952,0.0171789527206058,0.008070327136475,0.00855876509246523,0.008070327136475,0.00855876509246523,0.008070327136475,0.00855876509246523,0.008070327136475,0.00855876509246523,0.008070327136475,0.00855876509246523,NA,0.358583256423869,0.380128158318106,0.387793957124848,0.405101708132332,0.409473815625482,0.44957412786802,0.431011621600571,0.475703287236765,0.458771341444193,0.489609567461886,NA
"25","Mississippi",0.019485452739032,0.0168891911084066,0.016313134694274,0.0165233089058838,0.0143988270922583,0.0121464556937496,0.01090935971937,0.0111263945055173,0.0103462559365305,0.0101081612317699,0.00961081743633166,0.00626891482922611,0.00611340363747516,0.00626891482922611,0.00611340363747516,0.00626891482922611,0.00611340363747516,0.00626891482922611,0.00611340363747516,0.00626891482922611,0.00611340363747516,NA,0.321722821285473,0.361971369631327,0.384286340222921,0.369986645671088,0.435376769861808,0.503307614304397,0.574636366430874,0.549450555114119,0.605911439624441,0.604798785585332,NA
"26","Missouri",0.0357084322398578,0.0321072028978414,0.0294585202990482,0.0286359954762157,0.0261333695395414,0.0240895411315353,0.0230129259244361,0.0217028340030397,0.0205744667000011,0.0198819312950002,0.0193976147438283,0.0133304510736417,0.0113862142747975,0.0133304510736417,0.0113862142747975,0.0133304510736417,0.0113862142747975,0.0133304510736417,0.0113862142747975,0.0133304510736417,0.0113862142747975,NA,0.37331381518235,0.354631149621663,0.452515976305586,0.397618943760994,0.510093084379033,0.472662148798341,0.579259287472303,0.524641817432817,0.647912350196714,0.572691561290167,NA
"27","Montana",0.00407740575103816,0.00517714622454492,0.00436359212608978,0.00423302556981062,0.00390563940723445,0.00376285441075868,0.00341716656924948,0.0034725427822422,0.00321283988593408,0.00320584496361133,0.00320462930868332,0.00216169476869866,0.00160476845483723,0.00216169476869866,0.00160476845483723,0.00216169476869866,0.00160476845483723,0.00216169476869866,0.00160476845483723,0.00216169476869866,0.00160476845483723,NA,0.530164251656403,0.309971630167408,0.4953934066784,0.379106723635744,0.553480376271945,0.426476360671544,0.632598594447047,0.462130650497282,0.672829909191128,0.50057581481716,NA
"28","Nebraska",0.0129267422944856,0.0122274401662372,0.0111845263945028,0.00995602686829025,0.00875931280402037,0.00787031570236251,0.00730022607039313,0.00692939337367117,0.00634629008073194,0.00608077396789431,0.00591535998165583,0.00864677907479464,0.00641907381934892,0.00864677907479464,0.00641907381934892,0.00864677907479464,0.00641907381934892,0.00864677907479464,0.00641907381934892,0.00864677907479464,0.00641907381934892,NA,0.668906277994206,0.524972826043629,0.773101941897561,0.644742516695445,0.987152676043938,0.815605632874682,1.18445360341135,0.926354368008425,1.36249351428912,1.0556343408324,NA
"29","Nevada",0.000887740812774395,0.000730106374518981,0.000739091401170157,0.000834164563423954,0.00105786985507917,0.00159085963094285,0.0024050655373445,0.00353347085813397,0.00483226896263985,0.00710057375561944,0.00874685029456199,0.000720564922899553,0.000305670181873758,0.000720564922899553,0.000305670181873758,0.000720564922899553,0.000305670181873758,0.000720564922899553,0.000305670181873758,0.000720564922899553,0.000305670181873758,NA,0.811683897519166,0.418665269256338,0.974933440923177,0.366438704395556,0.681147042275467,0.192141516403052,0.299603030233907,0.0865070617945277,0.149115235197072,0.0430486595018957,NA
"30","New Hampshire",0.00466853541664607,0.00417917917941522,0.00377664845839647,0.00371903002233526,0.00352380101111378,0.00338450955934725,0.00363010682749004,0.00406368151464998,0.00446002398947789,0.00439122176935295,0.00426393206693079,0.000864677907479464,0.00129909827296347,0.000864677907479464,0.00129909827296347,0.000864677907479464,0.00129909827296347,0.000864677907479464,0.00129909827296347,0.000864677907479464,0.00129909827296347,NA,0.185213954765424,0.310850101704721,0.228953771314632,0.349311047547753,0.245382161124405,0.383836490984538,0.238196270404892,0.319685061016739,0.193872927481874,0.295839823447335,NA
